name, username,password,phone,course
name, username,password,phone,course
name, username,password,phone,course
name, username,password,phone,course
name, username,password,phone,course
name, username,password,phone,course
name, username,password,phone,course
mostfa,mostfa_moq,123456,0595921811,program
abed,abed_hamed,123456,05959218110,elctric
khaled,khaled_khaled,1234567,0595921811,logic
moh,moh_moh,12345678,059,anycourse
moh,moh1,123,123,pro
h,h,h,h,h
h,h,h,h,h
h,h,h,h,h
h,h,h,h,h
